,names,films,tv_shows,park_attractions
1546,"Bric, Brac, and DTZ",,"""Chip 'n Dale Rescue Rangers""",
1547,Brownstone National Park Bears,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Mickey Mouse Club',
1548,Brownstone National Park Bears,,'Walt Disney anthology series',
1549,Brownstone National Park Bears,,'Mickey Mouse Works',
1550,Brownstone National Park Bears,,'House of Mouse',
1551,Bruno,,'The New Adventures of Winnie the Pooh',
1552,The Bug Master,,'Darkwing Duck',
1553,Bugby,'Leroy & Stitch','Lilo & Stitch: The Series',
1554,Barnabas T. Bullion,,,'Big Thunder Mountain Railroad'
1555,Barnabas T. Bullion,,,'The Tropical Hideaway'
1556,Buttermaker,,'Randy Cunningham: 9th Grade Ninja',
1557,"Button, Benngee, and Brody",,'Sofia the First',
1558,Honey Buttowski,,'Kick Buttowski: Suburban Daredevil',
1559,Buzzy Crocker,,'Tower of Terror (film)',
1560,Donna Cabonna,,"""That's So Raven""",
1561,Donna Cabonna,,"""That's So Suite Life of Hannah Montana""",
1562,Calista the Conjuror,,'Sofia the First',
1563,Calliope,,'Tangled: The Series',
1564,Cammy,'Treasure Buddies',,
1565,Captain Jumps-a-Lot,,'Mickey Mouse Clubhouse',
1566,The Caseyettes,,'House of Mouse',
1567,Henry Casey,'White Fang 2: Myth of the White Wolf',,
1568,Casey,'Make Mine Music','House of Mouse',
1569,Casey,'Casey Bats Again','A Poem Is...',
1570,Cast Iron Chef,,'The Rocketeer (TV series)',
1571,Cat,,'Mickey Mouse (TV series)',
1572,Dr. Carver (clone),'The Proud Family Movie',,
1573,Colonel Hank Carter,,'American Dragon: Jake Long',
1574,Mrs. Carter,,'American Dragon: Jake Long',
1575,Cassie,,'Liv & Maddie',
1576,Cat,'The Black Cauldron',,
1577,Cat Prosecutor,,"""Disney's Halloween Treat""",
1578,Cedric the Sorcerer,'Sofia the First: Once Upon a Princess','Sofia the First',
1579,Mel Chadwick,'The Ugly Dachshund',,
1580,Prince Charming,,'Goldie & Bear',
1581,Checkers,'Leroy & Stitch','Lilo & Stitch: The Series',
1582,Checkers,,'Stitch!',
1583,Chillbeard Jr.,,'Adventures of the Gummi Bears',
1584,Chilly,,'Doc McStuffins',
1585,Chilly,,'The Doc Files',
1586,Chiro,,,
1587,Chrona,,,
1588,Clarence Skunker Thurston,'White Fang',,
1589,Leslie J. Clark,,'DTV',
1590,Leslie J. Clark,,'Quack Pack',
1591,Clock Tower,,,
1592,Coach Wallace,,'Penn Zero: Part-Time Hero',
1593,Mr. Collingwood,,'Fillmore!',
1594,Colonel Doberman,,,
1595,Constance,'The Three Musketeers',,
1596,Cuthbert Coot,,,
1597,Countess Le Grande,'Cinderella II: Dreams Come True',,
1598,Covington,,'TaleSpin',
1599,Fenton Crackshell,,'DuckTales',
1600,Fenton Crackshell,,'Darkwing Duck',
1601,Fenton Crackshell,,'DuckTales (2017 series)',
1602,M'Ma Crackshell,,'DuckTales',
1603,M'Ma Crackshell,,'DuckTales (2017 series)',
1604,Cricket Green,,'Big City Greens',
1605,Cricket Green,,'Amphibia',
1606,Michael Cromwell,'Jungle 2 Jungle',,
1607,The Crows,'Dumbo (1941 film)','House of Mouse','World of Color'
1608,The Crows,'Who Framed Roger Rabbit','A Poem Is...',
1609,The Crows,'Ralph Breaks the Internet','Mickey Mouse (TV series)',
1610,Molly Cunningham,,'TaleSpin',
1611,Molly Cunningham,,'DuckTales (2017 series)',
1612,Curtis,,'Phil of the Future',
1613,Casey Jones,'American Legends','Sing Me a Story with Belle',
1614,Casey Jones,,'House of Mouse',
1615,Casey Jones,,'Mickey Mouse',
1616,Cassandra,,'Hercules (TV series)',
1617,Cattlemen,'The Legend of Lobo',,
1618,Centaurs,'Fantasia','House of Mouse',
1619,Chaca,"""The Emperor's New Groove""","""The Emperor's New School""",'Jingle Bell
1620,Chaca,"""Kronk's New Groove""",,Jingle BAM!'
1621,Chaos,,'Aladdin (TV series)',
1622,Charlie,'Finding Nemo',,
1623,Charlie,'Finding Dory',,
1624,Cheese,'Tinker Bell (film)',,
1625,Cheese,'Tinker Bell and the Lost Treasure',,
1626,Cheese,'Tinker Bell and the Great Fairy Rescue',,
1627,Cheese,'Secret of the Wings',,
1628,Chi-Fu,'Mulan','House of Mouse',
1629,Chi-Fu,'Mulan (2020 film)',,
1630,Chief Nah-Mee,,,'Jungle Cruise'
1631,Chief Nah-Mee,,,'Walt Disney World'
1632,Chief Nah-Mee,,,"""Trader Sam's"""
1633,Chloe,,'Star vs. the Forces of Evil',
1634,Chug,'Planes',,
1635,Chug,'Planes: Fire & Rescue',,
1636,Chummi Gummi,,"""Disney's Adventures of the Gummi Bears""",
1637,Citizens of Hollywood,,,
1638,Claire,,'Motorcity',
1639,Clarinet,'Make Mine Music',,
1640,Clay,,,
1641,The Coachman,'Pinocchio (film)','Walt Disney anthology series',"""Pinocchio's Daring Journey"""
1642,The Coachman,'Geppetto (film)','House of Mouse',
1643,The Coachman,'Once Upon a Halloween',,
1644,The Coachman,'Pinocchio (live-action film)',,
1645,Cody's Mother,'The Rescuers Down Under',,
1646,Colette Tatou,'Ratatouille',,
1647,Colette Tatou,'Inside Out',,
1648,Colette Tatou,'Toy Story 4',,
1649,Colette Tatou,'Ralph Breaks the Internet',,
1650,William Collins,,'W.I.T.C.H.',
1651,Commodore Puddles,,'Kim Possible',
1652,Taranee Cook,,'W.I.T.C.H. (TV series)',
1653,Cornelius Coot,,'DuckTales',"""Mickey's Toontown Fair"""
1654,Cornelius Coot,,'DuckTales (2017 series)',
1655,Cora,,'Sofia the First',
1656,Cosmic Creepers,'Bedknobs and Broomsticks',,
1657,Coyote,,'Gargoyles',
1658,Crab Bot,,'Jake and the Never Land Pirates',
1659,Crackle,,'Sofia the First',
1660,Cloggy Colon Creature,,'Super Robot Monkey Team Hyperforce Go!',
1661,The Crew of the Black Pearl,'Pirates of the Caribbean: The Curse of the Black Pearl',,
1662,The Crew of the Black Pearl,"""Pirates of the Caribbean: Dead Man's Chest""",,
1663,The Crew of the Black Pearl,"""Pirates of the Caribbean: At World's End""",,
1664,The Crew of the Black Pearl,'Pirates of the Caribbean: Dead Men Tell No Tales',,
1665,Crockett,,'Fillmore!',
1666,Cupid,'Hercules','Hercules (TV series)',
1667,Cupid,,'Once Upon a Time',
1668,Castle Maids,,,
1669,Chakashi,"""Atlantis: Milo's Return""",,
1670,Chandra,'Upside-Down Magic',,
1671,Chang Triplets,,'The Proud Family',
1672,Chad Charming,'Descendants',,
1673,Chad Charming,'Descendants 2',,
1674,Chad Charming,'Descendants 3',,
1675,Chaude,,,
1676,Chelsey and Kelsey,"""Teacher's Pet: The Movie""","""Teacher's Pet""",
1677,Chief Cruz,,'Big Hero 6: The Series',
1678,Dr. Edmond Chilton,'Pollyanna',,
1679,Candy Chiu,,'Gravity Falls',
1680,Claudius,,'Timon & Pumbaa',
1681,Clover Leaf,,,
1682,CLU,'Tron',,
1683,Katie Coates,'Old Yeller',,
1684,Cocky Locky,,,
1685,Dr. Elliot Coleye,'My Favorite Martian',,
1686,Coach Collins,,'The Proud Family',
1687,Compsognathus,'Fantasia',,"""Dinosaur (Disney's Animal Kingdom attraction)"""
1688,Connal,'Maleficent: Mistress of Evil',,
1689,James Conroy,,'Sonny with a Chance',
1690,CookieAnn,,,
1691,Cornchip Girl,'Recess: Taking the Fifth Grade','Recess',
1692,Cursed Crew of the Black Pearl,'Pirates of the Caribbean: The Curse of the Black Pearl',,"""Pirate's Lair on Tom Sawyer Island"""
1693,Cursed Crew of the Black Pearl,,,'Fantasmic!'
1694,Cursed Crew of the Black Pearl,,,'Disneyland'
1695,Trixie Carter,,'American Dragon: Jake Long',
1696,Trixie Carter,,'Lilo & Stitch: The Series',
1697,The Catfish Club Band,"""The Little Mermaid: Ariel's Beginning""",,
1698,Graham Cavanaugh,,'Dog With a Blog',
1699,Cave Pup,,'101 Dalmatians: The Series',
1700,Charoca,,'Elena of Avalor',
1701,Fiona and Faith Chattaway,'Alice in Wonderland (2010 film)',,
1702,Cheapskate,,'Teamo Supremo',
1703,Cheekums,,'Gravity Falls',
1704,Chef O'Boy,,'The Proud Family',
1705,Rhoda Chesterfield,,'Jessie (TV series)',
1706,Chief,'The Fox and the Hound',,
1707,Chief,'The Fox and the Hound 2',,
1708,Chief Gnuckles,,'Sofia the First',
1709,Chief Stinky,'Recess: All Growed Down',,
1710,Chiron,,'Hercules: The Animated Series',
1711,Cinderella,"""Rodgers & Hammerstein's Cinderella""",,
1712,Cinderella,'Cinderella (1950 film)','Walt Disney anthology series',"""Cinderella's Golden Carousel"""
1713,Cinderella,'Cinderella II: Dreams Come True','Mickey Mouse Works','Fantasmic!'
1714,Cinderella,'Cinderella III: A Twist in Time','House of Mouse','Dream Along With Mickey'
1715,Cinderella,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'A Poem Is...','Cinderella Castle Mystery Tour'
1716,Cinderella,"""Mickey's House of Villains""",'Once Upon a Time','Mickey Mouse Revue'
1717,Cinderella,"""Teacher's Pet (film)""",'Once Upon a Time in Wonderland',"""Mickey's Soundsational Parade"""
1718,Cinderella,'Sofia the First: Once Upon a Princess','Sofia the First',"""Walt Disney's Parade of Dreams"""
1719,Cinderella,'Cinderella (2015 film)','Mickey Mouse (TV series)',"""Mickey's Once Upon a Christmastime Parade"""
1720,Cinderella,'Ralph Breaks the Internet','Elena of Avalor','Main Street Electrical Parade'
1721,Cinderella,,,'SpectroMagic'
1722,Cinderella,,,'Celebrate a Dreams Come True Parade'
1723,Cinderella,,,"""Cinderella's Fairy Tale Hall"""
1724,Cinderella,,,'A Christmas Fantasy Parade'
1725,Cinderella,,,"""It's a Small World"""
1726,Cinderella,,,"""Cinderella's Royal Coronation"""
1727,Cinderella,,,'World of Color'
1728,Cinderella,,,'Celebrate the Magic'
1729,Cinderella,,,'Disney Dreams!'
1730,Cinderella,,,'Princess Fairytale Hall'
1731,Cinderella,,,'Festival of Fantasy Parade'
1732,Cinderella,,,"""Stitch's Great Escape!"""
1733,Cinderella,,,'Remember... Dreams Come True'
1734,Cinderella,,,'Parade of the Stars'
1735,Cinderella,,,'Paint the Night Parade'
1736,Cinderella,,,'Mickey and the Magician'
1737,Cinderella,,,'Twice Charmed'
1738,Cinderella,,,"""Cinderella's Surprise Celebration"""
1739,Cinderella,,,'Once Upon a Time (Tokyo Disneyland)'
1740,Cinderella,,,'Ignite the Dream: A Nighttime Spectacular of Magic and Light'
1741,Clarence Saint-John,,'The Proud Family',
1742,Cloak and Dagger,'The Little Mermaid II: Return to the Sea',,
1743,Clara Cluck,'The Reluctant Dragon','Walt Disney anthology series',"""Mickey's Boo-to-You Halloween Parade"""
1744,Clara Cluck,'Who Framed Roger Rabbit','Mickey Mouse Works',
1745,Clara Cluck,"""Mickey's Once Upon a Christmas""",'House of Mouse',
1746,Clara Cluck,,'Have a Laugh!',
1747,Clara Cluck,,'Mickey Mouse (TV series)',
1748,Clara Cluck,,'Mickey and the Roadster Racers',
1749,Colossus,'Frankenweenie',,
1750,Commander Peepers,,'Wander Over Yonder',
1751,Fenimore Cook,,,
1752,Crane,,,'Meet the World'
1753,The Crew of the Flying Dutchman,"""Pirates of the Caribbean: Dead Man's Chest""",,'Pirates of the Caribbean: Battle for the Sunken Treasure'
1754,The Crew of the Flying Dutchman,"""Pirates of the Caribbean: At World's End""",,
1755,Cuckoo-Loca,,"""Minnie's Bow-Toons""",
1756,Cuckoo-Loca,,'Mickey and the Roadster Racers',
1757,Curious Oysters,'Alice in Wonderland (1951 film)','House of Mouse','Alice in Wonderland (Disneyland attraction)'
1758,Casey Junior,'The Reluctant Dragon','Mickey Mouse (TV series)','Casey Jr. Circus Train'
1759,Casey Junior,'Dumbo (1941 film)',,'Main Street Electrical Parade'
1760,Casey Junior,'Who Framed Roger Rabbit',,"""Casey Jr. Splash 'n' Soak Station"""
1761,Casey Junior,"""Kronk's New Groove""",,
1762,Casey Junior,'The Jungle Book (2016 film)',,
1763,Casey Junior,'Dumbo (2019 film)',,
1764,Castor,'Tron: Legacy',,
1765,Cecil B. De Vil,,'101 Dalmatians: The Series',
1766,Cedric,,'W.I.T.C.H. (TV series)',
1767,Centaurettes,'Fantasia','House of Mouse',
1768,Chameleon,'Mighty Ducks Movie: The First Face-Off','Mighty Ducks (TV series)',
1769,Charlotte,'Jungle 2 Jungle',,
1770,Chelsea,,'T.O.T.S.',
1771,Chirp Sing,,"""Chip 'n Dale Rescue Rangers""",
1772,Chloe,'Pixie Hollow Games',,
1773,Christopher Robin's Mother,'The Book of Pooh: Stories from the Heart','The New Adventures of Winnie the Pooh',
1774,Christopher Robin's Mother,'Christopher Robin (film)','The Book of Pooh',
1775,Cinderella's Mother,'Cinderella (1950 film)','Once Upon a Time',
1776,Cinderella's Mother,'Cinderella (2015 film)',,
1777,Cinderella's Prince,'Into the Woods',,
1778,Clank and Bobble,'Tinker Bell (film)',,
1779,Clank and Bobble,'Tinker Bell and the Lost Treasure',,
1780,Clank and Bobble,'Tinker Bell and the Great Fairy Rescue',,
1781,Clank and Bobble,'Secret of the Wings',,
1782,Clank and Bobble,'The Pirate Fairy',,
1783,Clawhauser,'Zootopia',,
1784,Lilith Clawthorne,,'The Owl House',
1785,Cleo,'Pinocchio (film)','The Little Mermaid (TV series)',"""Pinocchio's Daring Journey"""
1786,Cleo,'Fun and Fancy Free','Aladdin (TV series)',"""Walt Disney's Parade of Dreams"""
1787,Cleo,'The Little Mermaid','DuckTales',
1788,Cleo,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Goof Troop',
1789,Cleo,"""Mickey's House of Villains""",'House of Mouse',
1790,Clover,,'Star Darlings',
1791,Chicken Little,'Chicken Little (film)',,
1792,Chicken Little,'Big Hero 6',,
1793,Tess Coleman,'Freaky Friday (2003)',,
1794,Colonel Heller,'Bedknobs and Broomsticks',,
1795,Constantin,,'101 Dalmatian Street',
1796,Theresa Cook,,'W.I.T.C.H.',
1797,Mr. Cooper,,'Lilo & Stitch: The Series',
1798,Copper,'The Fox and the Hound','House of Mouse',
1799,Copper,'The Fox and the Hound 2','Mickey Mouse (TV series)',
1800,Crane,"""Beauty and the Beast: Belle's Magical World""",,
1801,Xyler and Craz,,'Gravity Falls',
1802,Carolyn Crosson,'Tower of Terror (film)',,'The Twilight Zone Tower of Terror'
1803,Cubby,,'Jake and the Never Land Pirates','Disney Junior - Live on Stage!'
1804,Cuco,,'Elena of Avalor',
1805,Curtis,'The Santa Clause 2',,
1806,Curtis,'The Santa Clause 3: The Escape Clause',,
1807,Desiree D'Allure,,"""Chip 'n Dale Rescue Rangers""",
1808,D.C.,'That Darn Cat! (1965 film)',,
1809,D.C.,'That Darn Cat',,
1810,Roland Carter,,'Pepper Ann',
1811,Cassidy,,'Austin & Ally',
1812,Rayna Cartflight,,'The Buzz on Maggie',
1813,Sir Cassius,,'Elena of Avalor',
1814,Cavin,,'Adventures of the Gummi Bears',
1815,Cedric,,,
1816,Cek and Rama,,'The Lion Guard',
1817,Charles and Mary,,'Lilo & Stitch: The Series',
1818,Chainsaw,'Charlie,,
1819,Chainsaw,the Lonesome Cougar',,
1820,Charles Wallace Murry,'A Wrinkle in Time (film)',,
1821,Charles Wallace Murry,'A Wrinkle in Time (2018 film)',,
1822,Charlie Calvin,'The Santa Clause',,
1823,Charlie Calvin,'The Santa Clause 2',,
1824,Charlie Calvin,'The Santa Clause 3: The Escape Clause',,
1825,Melissa Chase,,"""Milo Murphy's Law""",
1826,Abigail Chase,'National Treasure',,
1827,Abigail Chase,'National Treasure: Book of Secrets',,
1828,Chubby Cheddar,,,'Food Rocks'
1829,Cheetato and Cheetata,,'Timon & Pumbaa',
1830,Cheri,,'Dog With a Blog',
1831,Chief Benja,'Raya and the Last Dragon',,
1832,Chicks,'Home on the Range',,
1833,Chotu,,'Mira,
1834,Chotu,,Royal Detective',
1835,The Chinchilla,,'Penn Zero: Part-Time Hero',
1836,Chip Whistler,,'Big City Greens',
1837,Prince Christopher,"""Rodgers & Hammerstein's Cinderella""",,
1838,Chungu,'The Lion Guard: Return of the Roar','The Lion Guard',
1839,Chloe,'Chicken Little',,
1840,Chucky Albertson,,"""I'm in the Band""",
1841,Chura,,'The Lion Guard',
1842,Clara Stahlbaum,'The Nutcracker and the Four Realms',,
1843,Cinder,,'Sofia the First',
1844,The Circus Elephants,'Dumbo (1941 film)','House of Mouse',
1845,The Circus Elephants,'Dumbo (2019 film)',,
1846,Mrs. Clegg,,"""I Didn't Do It""",
1847,Coach T,,'The Mighty Ducks: Game Changers',
1848,Claire,,,
1849,Clementine,,"""Sheriff Callie's Wild West""",
1850,Arliss Coates,'Old Yeller',,
1851,Arliss Coates,'Savage Sam',,
1852,Coco,,'The Proud Family',
1853,Clown with the Tear Away Face,'The Nightmare Before Christmas',,
1854,Commander Copernicus,,'Miles from Tomorrowland',
1855,Coach Jackie,,'Penn Zero: Part-Time Hero',
1856,Commander Tung,'Mulan (2020 film)',,
1857,Coat Rack,'Beauty and the Beast (1991 film)',,
1858,Coat Rack,'Beauty and the Beast (2017 film)',,
1859,The Commander,'Sky High',,
1860,Cock Robin,'Who Killed Cock Robin?',,
1861,Cock Robin,"""Mickey's Polo Team""",,
1862,K.C. Cooper,,'K.C. Undercover',
1863,Coldfire,,'Gargoyles',
1864,Queen Coralie,,'Jake and the Never Land Pirates',
1865,The Collector,,'Bonkers',
1866,Comet,'The Santa Clause',,
1867,Comet,'The Santa Clause 2',,
1868,Comet,'The Santa Clause 3: The Escape Clause',,
1869,Cordelia the Conjuror,,'Sofia the First',
1870,Crash,,'Crash & Bernstein',
1871,Dr. Consilium,,'Miles from Tomorrowland',
1872,Cool Kids,,,
1873,Crew of the Silent Mary,'Pirates of the Caribbean: Dead Men Tell No Tales',,
1874,Cristina,,'Elena of Avalor',
1875,Ernie Cooper,,'K.C. Undercover',
1876,Abner Countrymouse,,,'Mickey Mouse Revue'
1877,Croesus,,'Hercules (TV series)',
1878,Cal Crudon,,'Quack Pack',
1879,King Crab,,'Jake and the Never Land Pirates',
1880,Dusty Crophopper,'Planes',,
1881,Dusty Crophopper,'Planes: Fire & Rescue',,
1882,Ranginald Bagel,,'Randy Cunningham: 9th Grade Ninja',
1883,Judge Glamis Cutler,,'American Dragon: Jake Long',
1884,Stan Cruge,'Santa Buddies',,
1885,Lisa Cucuy,,'Wizards of Waverly Place',
1886,Cydne,,'101 Dalmatians: The Series',
1887,D.J.,,'101 Dalmatian Street',
1888,The Dachsies,'The Ugly Dachshund',,
1889,Lauren Dabney,,'Good Luck Charlie',
1890,Dr. Marcus Garvey Carver II,'The Proud Family Movie',,
1891,Cat Judge,,,
1892,Cat Jury,,"""Disney's Halloween Treat""",
1893,Ceratosaurus,'Fantasia',,
1894,Princess Charlotte,,'Sofia the First',
1895,Chernabog,'Fantasia','House of Mouse','Fantasmic!'
1896,Chernabog,'The Reluctant Dragon','A Poem Is...','SpectroMagic'
1897,Chernabog,'Fantasia 2000','Once Upon a Time',"""Disney's Fantillusion"""
1898,Chernabog,"""Mickey's House of Villains""",'Mickey Mouse (TV series)','World of Color'
1899,Chernabog,'Once Upon a Halloween',,'Cinderella Castle Mystery Tour'
1900,Chernabog,"""The Sorcerer's Apprentice (film)""",,'Starlight Dreams'
1901,Chernabog,'Night on Bald Mountain (film)',,'Sorcerers of the Magic Kingdom'
1902,Chernabog,,,'Storybook Land Canal Boats'
1903,Chernabog,,,'The Nightmare Experiment'
1904,Chico,'Beverly Hills Chihuahua',,
1905,The Chief,,'Teamo Supremo',
1906,The Children of Hamelin,'The Pied Piper','Once Upon a Time',
1907,Chilkoot,'Brother Bear 2',,
1908,Chillbeard,,'Adventures of the Gummi Bears',
1909,China Girl,'Oz the Great and Powerful',,
1910,Chirpy Bird,,,
1911,Chloe,'Beverly Hills Chihuahua',,
1912,Chloe,'Beverly Hills Chihuahua 2',,
1913,Chloe,'Beverly Hills Chihuahua 3: Viva la Fiesta',,
1914,Chrysta,,'Sofia the First',
1915,Sergeant Claiborne,"""Rudyard Kipling's The Jungle Book""",,
1916,Claire Fletcher,'The Pacifier',,
1917,Claire the Neighbor,,,
1918,Clan Ishimura,,'Gargoyles',
1919,Clopin,'The Hunchback of Notre Dame',,
1920,Clopin,'The Hunchback of Notre Dame II',,
1921,Clover,'Sofia the First: Once Upon a Princess','Sofia the First',
1922,Clyde,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
1923,Clyde,,'Stitch!',
1924,Clyde,'Mary Poppins Returns',,
1925,Colonel Pierson,'King of the Grizzlies',,
1926,Commander Edward Plank,'Zenon: Girl of the 21st Century',,
1927,Commander Edward Plank,'Zenon: The Zequel',,
1928,Commander Edward Plank,'Zenon: Z3',,
1929,Anthony Cooper,'Alexander and the Terrible,,
1930,Anthony Cooper,Horrible,,
1931,Anthony Cooper,No Good,,
1932,Anthony Cooper,Very Bad Day',,
1933,Wendy Corduroy,,'Gravity Falls',
1934,Cornelia,,'101 Dalmatians: The Series',
1935,Sam Cortez,'Beverly Hills Chihuahua',,
1936,Sam Cortez,'Beverly Hills Chihuahua 2',,
1937,Sam Cortez,'Beverly Hills Chihuahua 3: Viva la Fiesta',,
1938,Count Mickula,,'Mickey Mouse Clubhouse',
1939,Count Mickula,,"""Mickey's Monster Musical""",
1940,Creeper,'The Black Cauldron',,
1941,Creeper,'Once Upon a Halloween',,
1942,Crocodiles,'The Lion King','The Lion Guard','The Lion King (musical)'
1943,Crocodiles,"""The Lion King II: Simba's Pride""",,
1944,Crocosaurus,,'The Wuzzles',
1945,Crocosaurus,,'Darkwing Duck',
1946,Jake Crossley,,'The Evermoor Chronicles',
1947,Tyler Cutebiker,,'Gravity Falls',
1948,Cassim,'Aladdin and the King of Thieves',,
1949,Devon Carter,,"""That's So Raven""",
1950,Devon Carter,,"""Raven's Home""",
1951,Aunt Cathy,,'American Dragon: Jake Long',
1952,"Chaps, Manny and Sperk",,'Lilo & Stitch: The Series',
1953,Charley,'Beauty and the Beast',,
1954,Tony Chiccolini,,'Jessie (TV series)',
1955,Chicha,"""The Emperor's New Groove""","""The Emperor's New School""",'Jingle Bell
1956,Chicha,"""Kronk's New Groove""",,Jingle BAM!'
1957,Chief,,'Fish Hooks',
1958,Chopsuey,,,
1959,Chuck,,'Amphibia',
1960,Chuck,,'Motorcity',
1961,Circe,,'DuckTales',
1962,Clamantha,,'Fish Hooks',
1963,Halinor Clarkson,,,
1964,Princess Claudia,,'Timon & Pumbaa',
1965,The Claw,,'Quack Pack',
1966,Coach Pramod Kadam,'Dangal',,
1967,Coach Wilson,,,
1968,Cogsworth,'Beauty and the Beast (1991 film)','Timon & Pumbaa','Fantasmic!'
1969,Cogsworth,'Beauty and the Beast: The Enchanted Christmas','House of Mouse','Beauty and the Beast Live on Stage'
1970,Cogsworth,"""Beauty and the Beast: Belle's Magical World""",,'Enchanted Tale of Beauty and the Beast'
1971,Cogsworth,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,
1972,Cogsworth,'Beauty and the Beast (2017 film)',,
1973,Sir Colby,,"""Chip 'n Dale Rescue Rangers""",
1974,Coldstone,,'Gargoyles',
1975,Collie,'One Hundred and One Dalmatians','101 Dalmatians: The Series',
1976,Collie,"""101 Dalmatians II: Patch's London Adventure""",,
1977,Conseil,"'20,000 Leagues Under the Sea'",,
1978,Doctor Cooper,,'TaleSpin',
1979,Fanny Goose,,,
1980,Cora Beakman,,'T.O.T.S.',
1981,Corduroy Brothers,,'Gravity Falls',
1982,Clyde Cosgrove,,"""Chip 'n Dale Rescue Rangers""",
1983,Peter Cratchit,,'A Christmas Carol',
1984,Kim Crawford,,"""Kickin' It""",
1985,Crocodiles,'The Rescuers Down Under',,
1986,Wilson Croft,'Flubber',,
1987,Cujo,'Mars Needs Moms',,
1988,Neil Apestrong,,'Randy Cunningham: 9th Grade Ninja',
1989,Randy Cunningham,,'Randy Cunningham: 9th Grade Ninja',
1990,Cassandra,'Tangled: Before Ever After','Tangled: The Series',
1991,Cassandra,,"""Chip 'n Dale Rescue Rangers""",
1992,John Carter,'John Carter (film)',,
1993,Cash,'The Fox and the Hound 2',,
1994,Celebrity Starr,,'The Replacements',
1995,Celestabellebethabelle,,'Gravity Falls',
1996,Camille Chameleon,,'Darkwing Duck',
1997,Chandu,,,"""Sindbad's Storybook Voyage"""
1998,Careless Charlie,,,
1999,Charlton J. Taboret,,,'Mystic Manor'
2000,Chase Henderson,,'Lab Rats',
2001,Chelsea,"""Max Keeble's Big Move""",,
2002,Chips,,'101 Dalmatian Street',
2003,Chundel,,'Quack Pack',
2004,Clerk Peaches,,,
2005,Clion,,'Hercules (TV series)',
2006,Cloaked Skull,,'Teamo Supremo',
2007,Clowns,'Dumbo (1941 film)',,
2008,Clowns,'Who Framed Roger Rabbit',,
2009,Clowns,'Dumbo (2019 film)',,
2010,The Coachman's Goons,'Pinocchio (film)','Mickey Mouse (TV series)',
2011,Anna Coleman,'Freaky Friday (2003)',,
2012,Colette Marchant,'Dumbo (2019 film)',,
2013,Comet Guy,,'Darkwing Duck',
2014,Conor,,"""Gamer's Guide to Pretty Much Everything""",
2015,Cookie (aka Chillie Walsh),'The Computer Wore Tennis Shoes',,
2016,Cookie (aka Chillie Walsh),"""Now You See Him",,
2017,Cookie (aka Chillie Walsh),"Now You Don't""",,
2018,Cookie (aka Chillie Walsh),'The Strongest Man in the World',,
2019,"Queenie, Duchess, Countess and Princess",'One Hundred and One Dalmatians','101 Dalmatians: The Series',
2020,Cutler,,'Tron: Uprising',
2021,Theo Cavenaugh,,'The Suite Life of Zack & Cody',
2022,Cavenpuss,,"""Milo Murphy's Law""",
2023,Councilor Chang,,'American Dragon: Jake Long',
2024,Charlie Rawlins,'Bedknobs and Broomsticks',,
2025,Prince Charming,'Cinderella (1950 film)','House of Mouse',"""Cinderella's Golden Carousel"""
2026,Prince Charming,'Cinderella II: Dreams Come True','Once Upon a Time','Fantasmic!'
2027,Prince Charming,'Cinderella III: A Twist in Time','Mickey Mouse (TV series)','Dream Along With Mickey'
2028,Prince Charming,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,'Prince Charming Regal Carrousel'
2029,Prince Charming,'The Princess and the Frog',,'Mickey Mouse Revue'
2030,Prince Charming,'Cinderella (2015 film)',,'Main Street Electrical Parade'
2031,Prince Charming,,,'SpectroMagic'
2032,Prince Charming,,,"""Walt Disney's Parade of Dreams"""
2033,Prince Charming,,,'Celebrate a Dreams Come True Parade'
2034,Prince Charming,,,'Jubilation!'
2035,Prince Charming,,,'The Golden Mickeys'
2036,Prince Charming,,,'Festival of Fantasy Parade'
2037,Prince Charming,,,"""It's a Small World"""
2038,Prince Charming,,,'Once Upon a Time (Tokyo Disneyland)'
2039,Cheddarhead Charlie and Camembert Kate,,"""Chip 'n Dale Rescue Rangers""",
2040,Chef Louis,'The Little Mermaid','Raw Toonage',
2041,Chef Louis,'The Little Mermaid II: Return to the Sea','Marsupilami (TV series)',
2042,Chef Louis,,'The Little Mermaid (TV series)',
2043,Chef Louis,,'House of Mouse',
2044,Chef Louis,,'The Wonderful World of Disney: The Little Mermaid Live!',
2045,Chessy,'The Parent Trap (1998 film)',,
2046,Chief Big Bear,'The Lone Ranger',,
2047,Chip and Dale,'Fun and Fancy Free','Walt Disney anthology series','The Disney Afternoon Live!: Plane Crazy'
2048,Chip and Dale,'Who Framed Roger Rabbit','The Mouse Factory',"""Mickey's Magical TV World"""
2049,Chip and Dale,"""Mickey's Once Upon a Christmas""","""Chip 'n Dale Rescue Rangers""",'Fantasmic!'
2050,Chip and Dale,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Darkwing Duck',"""Chip 'n' Dale's Treehouse"""
